Image Path,Driver ID
v2_cam1_cam2_ split_by_driver/Camera 1/test/c5/56.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c5/58.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c5/76.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c5/71.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c5/67.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c5/54.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c5/62.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c5/61.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c5/59.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c5/73.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c5/60.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c5/57.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c5/69.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c5/75.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c5/65.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c5/50.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c5/55.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c5/48.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c5/64.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c5/74.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c5/68.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c5/53.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c5/72.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c5/70.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c5/51.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c5/52.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c5/63.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c5/47.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c5/49.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c5/66.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c7/45.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c7/56.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c7/58.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c7/42.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c7/54.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c7/62.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c7/61.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c7/59.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c7/41.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c7/60.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c7/57.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c7/46.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c7/44.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c7/65.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c7/50.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c7/55.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c7/48.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c7/64.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c7/43.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c7/53.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c7/51.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c7/52.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c7/63.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c7/47.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c7/49.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c8/58.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c8/71.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c8/67.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c8/62.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c8/61.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c8/59.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c8/73.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c8/60.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c8/69.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c8/65.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c8/64.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c8/74.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c8/68.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c8/72.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c8/70.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c8/63.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c8/66.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c2/89.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c2/109.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c2/76.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c2/71.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c2/84.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c2/85.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c2/82.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c2/97.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c2/106.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c2/73.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c2/98.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c2/94.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c2/91.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c2/101.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c2/99.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c2/75.jpg,ID002
v2_cam1_cam2_ split_by_driver/Camera 1/test/c2/81.jpg,ID002
